ageb,total
5302,40
5309,171
5313,89
5317,26
532,57
5328,86
5332,82
5336,90
5340,165
5347,258
5351,47
5355,45
5366,578
536A,33
537,100
5370,372
5374,68
5385,327
539,161
539A,294
5402,146
541,139
5417,178
5421,223
543,178
5436,125
5440,164
5444,64
5459,305
5463,261
546A,63
547,427
5474,82
5478,105
5482,61
5489,75
5493,145
5497,192
5506,114
550A,88
5510,123
5525,93
5533,71
553A,67
5544,112
5548,27
5552,97
5559,135
556,33
5563,80
5567,133
5578,191
5597,59
560A,90
5614,57
562,91
5622,3
5629,99
5633,11
5637,19
5641,2
5648,51
5652,174
5656,42
566,3
5667,122
5671,93
5675,2
5694,29
5745,9
575,104
575A,16
577,335
5798,36
5800,83
581,2
5815,113
582A,76
5834,11
5849,47
5938,3
594,62
5942,77
596,236
597,344
600A,1
6014,4
602,337
6029,1
6033,57
6052,26
6067,50
607,43
6071,3
6086,15
609,141
6090,2
6103,6
611,44
6118,7
6122,4
613,321
6141,7
617,801
6175,46
626,125
6283,4
630,79
6300,79
632,192
632A,1
636,173
6391,53
64,94
640,140
6423,5
645,35
647,218
6508,77
651,451
6512,252
6527,84
6531,219
6546,204
655,250
6550,166
6565,1
657A,2
6584,129
6599,2
6601,5
6616,1
6620,46
6635,99
664A,25
666,370
670,100
6705,134
671,260
671A,199
6724,26
6739,24
6743,269
6758,178
6762,5
6777,79
679,217
6809,38
6813,1
6828,48
6832,71
6847,44
685,93
6851,14
6866,8
6870,10
6885,53
689,188
689A,113
690,214
6902,221
6917,41
6921,1
700,150
7012,5
702,176
7027,7
7046,30
706,334
707A,8
710,338
7120,9
714A,1
715,222
7154,1
717,121
718,275
7188,2
7205,25
721,142
721A,4
7277,1
7281,3
7296,7
7309,21
7328,1
734,125
736,148
7370,12
739A,6
740,175
7417,2
749,158
753,132
755,247
768,134
772,217
774,150
775,85
787,144
789,222
791,152
793,270
794,78
806,281
807,287
810,371
814,176
819,61
823,205
825,176
83,146
84,230
842,106
844,124
857,53
859,379
861,118
863,494
878,154
879,103
880,26
882,267
890,106
895,160
897,241
912,284
914,6
918,762
922,319
927,1194
929,371
931,808
933,308
937,622
941,292
946,716
948,208
950,143
952,406
953,261
