ageb,total
1885,33
1893,2
1895,209
1899,201
189A,3
1901,223
1902,10
1906,5
1908,233
1909,108
1910,14
1912,315
1913,129
1916,67
1920,182
1921,9
1925,3
1927,237
1928,395
1931,96
1935,133
1936,5
193A,11
1944,4
1946,167
194A,202
1950,132
1951,215
1954,103
1955,3
1963,3
1965,158
1966,151
1969,53
196A,8
1970,81
1973,49
1974,14
197A,182
1982,98
1984,296
1985,6
1988,3
1992,28
1993,1
1997,215
1999,237
2001,245
2003,845
2004,34
2007,8
2008,2
2011,36
2012,4
2016,67
2018,159
2019,35
2020,223
2022,226
2023,112
2026,151
2027,2
2030,42
2031,4
2035,25
2037,181
2038,6
2041,147
2042,31
2045,20
2046,2
204A,36
2050,10
2054,101
2056,301
205A,107
2061,25
2064,43
2065,1
2069,67
2073,84
2079,51
2084,1
2088,29
2095,74
2098,102
2100,41
2101,5
2105,15
2107,115
2108,26
2111,82
2112,30
2115,308
2116,118
211A,6
2120,63
2124,11
2126,34
2127,28
212A,128
2130,235
2131,92
2134,165
2135,81
2139,22
2143,31
2145,411
214A,88
2150,184
2153,4
2154,134
2158,3
215A,242
2162,19
2164,198
2165,165
2168,62
2169,143
2172,85
2173,99
2177,2
2179,234
217A,155
2181,5
2183,285
2187,38
2188,83
2192,78
2196,16
2199,91
2200,135
2201,125
2204,121
2205,26
2209,18
2213,19
2215,335
2216,136
2219,131
221A,11
2220,58
2223,29
2224,17
2228,2
2232,2
2235,97
2238,67
2239,14
2242,159
2243,64
2247,3
2249,240
224A,54
2251,16
2253,236
2254,62
2257,195
2258,39
2261,107
2262,49
2268,303
2269,67
2272,143
2273,153
2276,200
2277,40
2280,190
2281,49
2287,180
2291,235
2292,44
2295,102
229A,14
2302,1
2304,154
2308,228
2309,129
2312,185
2313,19
2317,69
2319,270
2321,34
2327,122
2328,22
2331,122
2332,41
2336,119
2340,42
2342,129
2343,201
2346,137
2347,3
2350,75
2351,14
2355,52
2357,377
2358,197
2361,65
2362,173
2365,174
2366,3
236A,23
2370,3
2374,57
2376,206
2377,233
237A,187
2380,112
2381,197
2384,206
2385,14
2393,4
2395,230
2399,195
239A,7
2401,162
2406,3
2408,185
2410,23
2413,272
2416,108
2417,10
2420,82
2425,9
2427,293
2428,190
2431,110
2432,127
2435,170
2436,1
2440,6
2444,3
2446,191
2447,53
244A,178
2451,92
2454,109
2455,21
2463,1
2466,56
2469,156
2470,30
2473,138
2474,3
2478,26
2482,1
2485,80
2488,133
2489,17
2492,87
2493,51
2497,5
249A,152
2501,206
2502,15
2505,150
2506,15
250A,20
2510,48
2516,208
251A,129
2520,115
2524,188
2525,190
2529,1
2533,2
2535,119
2536,4
2539,268
253A,135
2540,18
2543,154
2544,182
2548,1
254A,277
2554,261
2555,157
2558,203
2559,73
2562,62
2563,81
2567,11
2569,262
256A,32
2573,133
2574,84
2578,15
2581,1
2582,497
2586,16
2588,466
2589,77
2592,206
2596,89
2597,144
2603,6
2605,326
2606,178
2609,245
260A,100
2610,58
2613,228
2614,102
261A,195
2622,1
2624,186
2625,78
2628,127
2629,51
2632,415
2633,31
2637,1
2639,381
263A,67
2644,49
2647,179
2648,4
2651,146
2652,14
2659,139
2662,275
2663,14
2666,284
2670,257
2671,1
2677,343
2681,203
2685,185
2686,20
2690,3
2696,353
2697,114
269A,107
2702,123
2703,2
2709,204
270A,76
2713,185
2714,77
2717,150
2721,116
2722,1
2728,305
2729,64
2733,134
2736,65
2737,3
2740,14
2741,4
